"Updates","params_6","params_10","params_3","params_9","params_7","params_1","params_4","params_8","params_2","params_5"
"1880.0","165.75862068965517","389.1666666666667","52.0","nan","nan","242.6595744680851","85.0","nan","nan","344.9958320749019"
"1890.0","224.85714285714286","322.7857142857143","nan","nan","nan","237.7","nan","nan","436.75","287.80188536953244"
"1900.0","232.72222222222223","331.5","nan","nan","730.0","227.0","nan","nan","459.5","323.8820806100218"
"1910.0","190.26470588235293","355.93333333333334","nan","nan","645.0","186.83636363636364","125.0","nan","348.5","293.234126984127"
"1920.0","174.08333333333334","354.6","nan","96.0","nan","235.0","nan","nan","nan","333.447620794466"
"1930.0","197.71875","335.2","nan","78.0","nan","239.59183673469389","nan","nan","nan","381.62319331526646"
"1940.0","581.6800000000001","287.07142857142856","nan","111.0","185.0","203.66666666666666","nan","nan","351.25","331.0597222222222"
"1950.0","187.21052631578948","360.3","nan","nan","570.0","203.3673469387755","nan","nan","583.0","336.61643026004725"
"1960.0","245.73333333333332","379.77777777777777","nan","nan","327.8333333333333","216.26","nan","nan","nan","324.1925505050505"
"1970.0","207.7391304347826","318.6923076923077","74.0","nan","192.0","184.22222222222223","nan","nan","263.0","304.18380614657207"
"1980.0","216.6","289.89473684210526","nan","71.0","nan","204.19607843137254","nan","nan","757.0","279.29304321409586"
"1990.0","197.25","379.14285714285717","61.5","nan","234.0","220.88679245283018","nan","nan","nan","257.4176934287228"
"2000.0","200.3913043478261","570.6153846153846","nan","nan","351.0","179.9090909090909","nan","nan","331.0","233.08555842664364"
"2010.0","360.32142857142856","252.23529411764707","nan","nan","nan","200.48333333333332","nan","nan","680.0","224.45255802244014"
"2020.0","207.57692307692307","277.8181818181818","nan","nan","nan","175.30882352941177","113.5","nan","347.0","263.99896640826876"
"2030.0","532.969696969697","382.6875","nan","nan","188.75","224.3125","144.0","nan","652.5","330.7334712543554"
"2040.0","303.5","309.88235294117646","nan","nan","357.0","182.45901639344262","138.0","nan","175.0","231.23870801033593"
"2050.0","182.8235294117647","348.1666666666667","nan","45.0","417.5","203.8490566037736","nan","nan","nan","256.1518959435626"
"2060.0","374.31182795698925","259.72","nan","nan","nan","204.47169811320754","nan","nan","nan","223.67536727998856"
"2070.0","463.57471264367814","272.7894736842105","46.0","nan","454.0","186.27586206896552","nan","nan","533.5","231.8306590714731"
"2080.0","447.3333333333333","342.425","nan","nan","519.0","180.18965517241378","126.0","nan","516.0","218.29774796685524"
"2090.0","290.7241379310345","267.8125","nan","nan","525.0","193.0","146.0","nan","496.0","235.68578058324977"
"2100.0","312.8103448275862","211.0625","nan","nan","nan","189.20754716981133","117.0","nan","456.0","221.20406445406445"
"2110.0","365.6379310344828","284.1111111111111","nan","93.0","nan","174.6086956521739","nan","nan","798.0","233.41754065967473"
"2120.0","429.2678571428571","352.72222222222223","nan","nan","nan","206.22641509433961","nan","nan","488.3333333333333","220.10388437217705"
"2130.0","467.6","285.0869565217391","67.5","76.0","nan","202.27777777777777","109.66666666666667","nan","251.0","259.02522974101925"
"2140.0","379.53478260869565","183.02272727272725","65.0","nan","nan","191.24074074074073","nan","nan","nan","221.95365853658538"
"2150.0","498.1488095238095","326.5625","nan","103.0","nan","376.3548387096774","116.0","nan","718.0","251.9853639114509"
"2160.0","349.9367816091954","270.25","nan","71.0","nan","192.77777777777777","nan","nan","602.0","251.2314814814815"
"2170.0","379.63235294117646","310.29411764705884","nan","nan","nan","195.3448275862069","nan","nan","nan","238.99394863266812"
"2180.0","294.4079365079365","195.61764705882354","nan","nan","nan","257.1666666666667","157.0","nan","nan","321.1700566014519"
