"PandaController_2019_08_11__15_19_02__148767vjuribgiiz","PandaController_2019_08_11__15_19_34__478560dcxzbosnrv","PandaController_2019_08_11__15_34_38__360623vyziwdnqsj","PandaController_2019_08_11__15_36_11__029089ybyhkobuwk","PandaController_2019_08_11__15_41_05__262730fzyxnprhgl","Mean_over_std_grasp_times"
"nan","nan","74.79481610465415","159.51875542811052","108.31181837638957","114.20846330305142"
"nan","nan","175.42891797864425","137.49843886261098","174.78782375592795","162.57172686572773"
"nan","nan","182.36759640185892","71.64675551452122","205.89190858792392","153.302086834768"
"nan","8.48528137423857","148.85787404993619","46.97209981382076","128.82526038172134","83.28512890492922"
"nan","nan","226.43177254759902","61.968650432001795","136.629275133587","141.67656603772926"
"nan","nan","201.66888847740037","74.77673116558067","205.20436967407232","160.5499964390178"
"nan","nan","107.18675291284833","81.65905096704657","161.7520342630512","116.8659460476487"
"nan","347.8965363437814","91.50646409415289","109.87014278620953","121.59491837993961","167.71701540102086"
"nan","nan","102.30590087818666","93.28649830757082","180.2434251441431","125.27860810996685"
"nan","nan","112.04922827333638","105.82875136457302","189.05431388052997","135.64409783947977"
"nan","nan","98.48113755324678","92.56549375939522","173.21301226826932","121.4198811936371"
"nan","nan","83.50931893631004","56.952803695160576","181.34681322445857","107.26964528530972"
"nan","nan","63.66261879830317","91.37800610650245","266.2191851566197","140.41993668714176"
"nan","133.6650041459369","126.32243455247514","78.0928618626032","191.24982570798159","132.33253156724922"
"nan","nan","92.71285873153829","54.27489940923293","167.3436882586254","104.7771487997989"
"nan","nan","76.67915279343063","69.59568334160494","88.9805947190686","78.41847695136806"
"nan","nan","101.96720514150493","116.52751338487136","204.94210086237123","141.14560646291582"
"nan","180.31222920256963","58.57416950613413","83.40863264674707","214.94212843711003","134.30928994814022"
"nan","197.43847745804865","54.71058050366144","118.85504821745052","197.9319550338687","142.2340153032573"
"nan","197.36514383244068","40.91811933750838","152.68961401025607","192.76441211249318","145.93432232317457"
"nan","64.34671708797582","67.18095468411347","79.27205505170919","123.18308866615308","83.4957038724879"
"nan","291.66345576463885","66.30583962077618","81.3472611336079","61.288013414005306","125.15114248325706"
"nan","182.08789086592222","100.72661018817222","134.57360645964556","282.4715841165857","174.9649229075814"
"nan","273.3920958902033","48.296040994656856","73.24119556146478","249.6286180903483","161.1394876341683"
"nan","144.95689014324225","61.701714622055576","105.38315989573661","216.08862957900706","132.03259856001037"
"nan","187.03128080617958","58.453845902903055","85.13635133905923","252.62936244871028","145.81271012421303"
"nan","172.24594818650064","42.87364846406614","158.14551516958667","185.14267153611402","139.60194583906687"
"nan","133.82152293259855","53.34382909544554","85.06876384008872","216.61415891067628","122.21206869470227"
"nan","196.2841477722199","62.61728677589443","61.283312420456916","134.64910907895967","113.70846401188274"
"nan","107.97205025544174","48.544496610296605","90.69489850804518","189.28153634203204","109.1232454289539"
"nan","213.12893854294973","45.260836639785325","99.89632306706208","61.8644459881389","105.03763605948402"
"nan","183.23720344753335","59.018507355966875","126.71448827368376","132.4964527827066","125.36666296497265"
"nan","212.94064849206168","44.8766396992653","127.05924041451154","238.29676376117158","155.7933230917525"
"nan","232.21351012745637","30.409563353333116","116.11853093935191","174.0361599790031","138.19444109978613"
