"PandaController_2019_08_11__07_58_24__024733gzfwxrhysh","PandaController_2019_08_11__10_19_04__127417bjsoeijqno","PandaController_2019_08_11__13_52_10__020172aunazfahtv","PandaController_2019_08_11__15_00_58__017286qhcugfzows","PandaController_2019_08_11__12_31_14__388038vpxtxvdzcw","Mean_over_mean_grasp_times"
"297.025","nan","nan","151.06493506493507","182.703125","210.26435335497834"
"326.62857142857143","nan","nan","159.41095890410958","145.1625","210.40067677756034"
"264.70454545454544","nan","nan","163.04109589041096","148.15189873417722","191.96584669304457"
"344.25","nan","nan","148.9746835443038","149.7792207792208","214.3346347745082"
"275.48837209302326","nan","nan","153.8421052631579","147.67948717948718","192.3366548452228"
"376.6969696969697","nan","nan","150.9102564102564","150.73417721518987","226.113801107472"
"251.2127659574468","nan","nan","165.13888888888889","144.6341463414634","186.9952670625997"
"305.1","nan","nan","156.07792207792207","170.2295081967213","210.46914342488114"
"267.7111111111111","520.0","nan","139.9764705882353","167.64788732394365","273.8338672558225"
"320.43243243243245","247.0","nan","148.44444444444446","149.4857142857143","216.3406477906478"
"338.6","nan","nan","159.55405405405406","167.33333333333334","221.82912912912914"
"329.97222222222223","nan","nan","150.45569620253164","155.53623188405797","211.9880501029373"
"349.2647058823529","nan","nan","158.84","146.7625","218.28906862745097"
"332.02777777777777","nan","nan","160.91780821917808","143.95945945945945","212.30168181880512"
"473.96","nan","nan","150.34177215189874","170.23529411764707","264.84568875651524"
"322.86842105263156","nan","nan","158.70666666666668","135.12820512820514","205.56776428250114"
"307.43589743589746","715.6666666666666","nan","149.97435897435898","141.57647058823528","328.6633484162896"
"265.75555555555553","837.0","nan","144.82926829268294","160.15068493150685","351.9338771949363"
"319.0","nan","nan","153.94805194805195","144.47560975609755","205.8078872347165"
"267.5777777777778","514.0","nan","152.11688311688312","156.11940298507463","272.4535159699339"
"321.2631578947368","800.0","nan","152.84415584415584","179.36764705882354","363.3687401994291"
"254.06382978723406","nan","nan","147.70886075949366","163.16438356164383","188.31235803612387"
"239.79166666666666","241.0","nan","142.15853658536585","185.5593220338983","202.1273813214827"
"276.8181818181818","nan","nan","148.725","162.5820895522388","196.04175712347353"
"261.1333333333333","614.0","nan","143.8048780487805","167.46376811594203","296.60049487451397"
"234.58695652173913","nan","nan","149.92307692307693","157.1315789473684","180.54720413072815"
"320.4054054054054","nan","nan","148.2875","165.85507246376812","211.51599262305785"
"254.91666666666666","nan","nan","140.90588235294118","139.0952380952381","178.305929038282"
"260.75555555555553","nan","nan","143.1829268292683","138.41558441558442","180.7846889334694"
"246.7","nan","nan","144.5679012345679","154.32835820895522","181.8654198145077"
"316.7368421052632","nan","nan","148.95","170.78333333333333","212.15672514619882"
"234.91489361702128","nan","nan","148.23456790123456","163.96923076923076","182.3728974291622"
"281.44736842105266","nan","nan","140.79761904761904","195.62295081967213","205.95597942944792"
"269.3478260869565","nan","nan","145.18072289156626","151.3421052631579","188.62355141389355"
"257.0","nan","nan","145.6219512195122","168.07142857142858","190.23112659698026"
"254.9787234042553","nan","nan","146.5875","146.23684210526315","182.60102183650613"
"302.025","nan","nan","150.78481012658227","190.88679245283018","214.5655341931375"
"296.75","nan","nan","153.80769230769232","146.26582278481013","198.94117169750083"
"272.0681818181818","nan","nan","150.4102564102564","156.71428571428572","193.0642413142413"
"231.46153846153845","nan","nan","150.575","165.75862068965517","182.5983863837312"
"239.21153846153845","nan","nan","143.95238095238096","160.31428571428572","181.1594017094017"
"252.70212765957447","nan","nan","149.83544303797467","181.26785714285714","194.60180928013543"
"296.975","nan","nan","142.14634146341464","181.83673469387756","206.98602538576407"
"302.7","nan","nan","147.91358024691357","169.72602739726028","206.7798692147246"
"292.0","306.0","nan","144.1829268292683","194.1","234.0707317073171"
"248.47916666666666","438.0","nan","143.41666666666666","163.66666666666666","248.39062499999997"
