"PandaController_2019_08_11__08_22_13__165309nhlzdqdbhl","PandaController_2019_08_11__14_18_17__188334jzlipczgwe","PandaController_2019_08_11__11_30_38__945755wjtcehpbcy","PandaController_2019_08_11__13_23_12__851503oqrypyiuqc","PandaController_2019_08_11__15_12_46__701247ieqnuidezx","Mean_over_mean_grasp_times"
"nan","181.57142857142858","nan","nan","nan","181.57142857142858"
"nan","177.91666666666666","nan","nan","696.0","436.9583333333333"
"nan","195.37037037037038","nan","nan","713.0","454.1851851851852"
"nan","187.1764705882353","nan","nan","nan","187.1764705882353"
"nan","201.94736842105263","nan","nan","nan","201.94736842105263"
"nan","207.47619047619048","nan","nan","nan","207.47619047619048"
"nan","180.1153846153846","nan","nan","nan","180.1153846153846"
"nan","192.75757575757575","nan","nan","nan","192.75757575757575"
"nan","210.64","nan","nan","nan","210.64"
"nan","189.9","nan","nan","nan","189.9"
"nan","188.8846153846154","nan","nan","nan","188.8846153846154"
"nan","176.42105263157896","nan","nan","nan","176.42105263157896"
"nan","176.04166666666666","nan","nan","nan","176.04166666666666"
"nan","193.32142857142858","nan","nan","nan","193.32142857142858"
"nan","223.39285714285714","nan","nan","nan","223.39285714285714"
"nan","180.15","nan","nan","nan","180.15"
"nan","179.45833333333334","nan","nan","nan","179.45833333333334"
"nan","193.56521739130434","nan","nan","nan","193.56521739130434"
"nan","213.05555555555554","nan","nan","nan","213.05555555555554"
"nan","223.95833333333334","nan","nan","nan","223.95833333333334"
"nan","223.47368421052633","nan","nan","nan","223.47368421052633"
"nan","267.15","nan","nan","nan","267.15"
"nan","209.03846153846155","nan","nan","nan","209.03846153846155"
"nan","200.3181818181818","nan","nan","nan","200.3181818181818"
"nan","173.3448275862069","nan","nan","nan","173.3448275862069"
"nan","196.39285714285714","nan","nan","nan","196.39285714285714"
"nan","177.94285714285715","nan","nan","nan","177.94285714285715"
"nan","219.72222222222223","nan","nan","nan","219.72222222222223"
"661.5","243.375","nan","nan","nan","452.4375"
"444.3333333333333","174.8","nan","nan","nan","309.56666666666666"
"459.0","169.11764705882354","nan","nan","nan","314.05882352941177"
"nan","178.64285714285714","nan","nan","nan","178.64285714285714"
"819.0","164.9090909090909","nan","nan","nan","491.95454545454544"
"672.0","186.5","nan","nan","nan","429.25"
"538.6","171.7826086956522","nan","nan","nan","355.1913043478261"
"nan","227.1904761904762","nan","nan","nan","227.1904761904762"
"nan","230.43478260869566","nan","nan","nan","230.43478260869566"
"nan","175.83333333333334","nan","nan","nan","175.83333333333334"
"nan","173.44827586206895","nan","nan","nan","173.44827586206895"
"nan","215.35714285714286","nan","nan","nan","215.35714285714286"
"nan","213.30434782608697","nan","nan","nan","213.30434782608697"
"nan","175.56","nan","459.0","nan","317.28"
"nan","184.8709677419355","nan","477.0","nan","330.93548387096774"
"nan","175.21875","nan","627.5","nan","401.359375"
"nan","179.72727272727272","nan","nan","nan","179.72727272727272"
"nan","169.31034482758622","nan","nan","nan","169.31034482758622"
"nan","174.89473684210526","nan","nan","nan","174.89473684210526"
"nan","190.7391304347826","nan","419.0","nan","304.8695652173913"
"nan","160.66666666666666","nan","424.0","nan","292.3333333333333"
"nan","184.2173913043478","nan","nan","nan","184.2173913043478"
"nan","240.76","nan","nan","nan","240.76"
"nan","168.0","nan","nan","nan","168.0"
"nan","179.43333333333334","nan","995.0","nan","587.2166666666667"
"nan","173.02777777777777","nan","nan","nan","173.02777777777777"
"nan","181.0","nan","608.8","nan","394.9"
"nan","173.05263157894737","nan","384.6","nan","278.8263157894737"
"nan","202.93548387096774","nan","493.0","nan","347.9677419354839"
"nan","183.91176470588235","nan","457.75","nan","320.83088235294116"
"nan","211.76666666666668","951.0","508.75","nan","557.1722222222222"
"nan","200.8846153846154","nan","494.0","nan","347.4423076923077"
"nan","192.72727272727272","nan","357.6666666666667","nan","275.1969696969697"
"nan","192.10714285714286","nan","527.5","nan","359.80357142857144"
"nan","251.9047619047619","nan","744.25","nan","498.07738095238096"
"nan","190.03571428571428","nan","390.75","nan","290.3928571428571"
"nan","171.96774193548387","nan","580.5","nan","376.23387096774195"
"nan","174.58333333333334","nan","510.6","nan","342.5916666666667"
"nan","171.23076923076923","nan","606.4285714285714","nan","388.8296703296703"
"nan","182.75862068965517","nan","375.5","nan","279.12931034482756"
"nan","172.96","nan","495.0","nan","333.98"
"nan","186.0952380952381","nan","510.42857142857144","nan","348.26190476190476"
"nan","179.84375","nan","510.5","nan","345.171875"
"nan","199.3548387096774","nan","421.7142857142857","nan","310.53456221198155"
"nan","203.08333333333334","nan","363.0","nan","283.0416666666667"
"nan","195.4","nan","359.5","nan","277.45"
"nan","210.93333333333334","nan","559.75","nan","385.3416666666667"
"nan","181.7741935483871","nan","407.42857142857144","nan","294.60138248847926"
"nan","205.93103448275863","nan","476.45454545454544","nan","341.19278996865205"
"nan","176.93333333333334","nan","371.35714285714283","nan","274.1452380952381"
"nan","168.52777777777777","nan","481.1666666666667","nan","324.84722222222223"
"nan","215.14285714285714","nan","389.8333333333333","nan","302.48809523809524"
"nan","175.17142857142858","nan","525.75","nan","350.4607142857143"
"nan","168.1315789473684","nan","396.29411764705884","nan","282.2128482972136"
"nan","190.7826086956522","nan","375.14285714285717","nan","282.9627329192547"
"nan","197.15625","nan","403.625","nan","300.390625"
"nan","162.7058823529412","nan","345.8888888888889","nan","254.29738562091507"
"277.0","194.74193548387098","nan","382.875","nan","284.872311827957"
"nan","191.16666666666666","nan","380.0","nan","285.5833333333333"
"711.0","187.0","nan","328.63157894736844","nan","408.8771929824561"
"nan","176.1290322580645","nan","403.0","nan","289.56451612903226"
"292.0","187.3548387096774","nan","386.11764705882354","nan","288.4908285895003"
"180.0","168.7058823529412","nan","444.57142857142856","nan","264.4257703081233"
"nan","170.67567567567568","nan","312.95","nan","241.81283783783783"
"nan","209.73076923076923","nan","271.05","nan","240.39038461538462"
"nan","198.46153846153845","nan","319.15","nan","258.8057692307692"
"nan","252.33333333333334","nan","421.2","nan","336.76666666666665"
"nan","220.89655172413794","nan","342.3125","nan","281.60452586206895"
"nan","155.84848484848484","nan","370.29411764705884","nan","263.0713012477718"
"nan","182.91666666666666","nan","388.5","nan","285.7083333333333"
"nan","176.16","nan","372.1764705882353","nan","274.16823529411766"
"nan","175.66666666666666","686.0","332.8421052631579","nan","398.16959064327483"
"nan","160.7027027027027","nan","333.375","789.0","427.69256756756755"
"nan","179.75862068965517","nan","383.0625","nan","281.41056034482756"
"nan","191.05263157894737","nan","253.6818181818182","nan","222.36722488038276"
"nan","164.1818181818182","nan","302.6666666666667","nan","233.42424242424244"
"nan","181.93103448275863","nan","363.3529411764706","nan","272.6419878296146"
"nan","200.1875","nan","381.94117647058823","nan","291.06433823529414"
"nan","194.07407407407408","nan","356.4117647058824","nan","275.2429193899782"
"nan","204.74193548387098","nan","375.8","nan","290.27096774193546"
"nan","209.92","nan","331.5263157894737","nan","270.72315789473686"
"nan","270.2","nan","339.6842105263158","nan","304.9421052631579"
"nan","316.0769230769231","nan","335.42105263157896","nan","325.748987854251"
"nan","235.2608695652174","nan","307.7","nan","271.4804347826087"
"nan","193.3913043478261","nan","320.05","nan","256.72065217391304"
"nan","184.91304347826087","nan","316.7","nan","250.80652173913043"
"nan","174.96","nan","359.6","nan","267.28000000000003"
"nan","167.9375","nan","243.8846153846154","nan","205.91105769230768"
"nan","166.5","nan","296.9","nan","231.7"
"nan","173.36666666666667","nan","308.3333333333333","nan","240.85"
"nan","193.3939393939394","nan","324.0","nan","258.6969696969697"
"nan","181.96666666666667","nan","284.3478260869565","nan","233.1572463768116"
"nan","183.3181818181818","nan","274.0","nan","228.6590909090909"
"nan","190.9090909090909","nan","334.0","nan","262.45454545454544"
"nan","184.69565217391303","nan","313.52941176470586","nan","249.11253196930943"
"nan","189.02941176470588","nan","231.33333333333334","nan","210.1813725490196"
"nan","190.53571428571428","nan","296.76190476190476","nan","243.64880952380952"
"nan","215.24137931034483","nan","312.85","nan","264.0456896551724"
"nan","193.1818181818182","nan","326.2","nan","259.6909090909091"
"nan","180.93103448275863","nan","353.27777777777777","nan","267.1044061302682"
"nan","248.1764705882353","nan","355.3888888888889","nan","301.78267973856214"
"nan","203.62962962962962","nan","353.7647058823529","nan","278.69716775599125"
"nan","151.31428571428572","nan","287.95652173913044","nan","219.6354037267081"
"nan","192.64705882352942","nan","233.03846153846155","nan","212.84276018099547"
"nan","190.25","nan","297.42105263157896","nan","243.83552631578948"
"nan","166.19230769230768","nan","416.5","nan","291.3461538461538"
"nan","179.875","nan","343.05882352941177","nan","261.46691176470586"
"nan","217.4","nan","357.07142857142856","nan","287.23571428571427"
"nan","179.53846153846155","nan","477.0833333333333","nan","328.31089743589746"
"nan","185.66666666666666","nan","252.8095238095238","nan","219.23809523809524"
"nan","184.79166666666666","nan","289.40909090909093","nan","237.1003787878788"
"nan","204.9047619047619","nan","394.0","nan","299.45238095238096"
"nan","182.10526315789474","nan","287.9","nan","235.00263157894736"
"nan","199.68421052631578","nan","250.17391304347825","nan","224.92906178489702"
"nan","194.96666666666667","nan","377.5","nan","286.23333333333335"
"nan","218.15","nan","376.125","nan","297.1375"
"nan","165.65","nan","356.77777777777777","nan","261.2138888888889"
"nan","201.36","nan","344.63157894736844","nan","272.9957894736842"
"nan","192.78947368421052","nan","324.2352941176471","nan","258.5123839009288"
"nan","191.58823529411765","nan","235.96153846153845","nan","213.77488687782807"
"nan","191.92857142857142","nan","315.8095238095238","nan","253.8690476190476"
"nan","186.35714285714286","nan","452.7857142857143","nan","319.57142857142856"
"nan","181.31428571428572","nan","329.2631578947368","nan","255.28872180451128"
"nan","177.75757575757575","nan","307.53333333333336","nan","242.64545454545456"
"nan","177.375","nan","249.04166666666666","nan","213.20833333333331"
"nan","184.85714285714286","nan","268.2173913043478","nan","226.53726708074532"
"nan","175.24137931034483","nan","277.375","nan","226.3081896551724"
"nan","166.42857142857142","nan","237.52","nan","201.9742857142857"
"nan","155.57142857142858","nan","337.2","nan","246.3857142857143"
"nan","176.62962962962962","nan","241.8181818181818","nan","209.22390572390572"
"nan","179.5","nan","232.96296296296296","nan","206.23148148148147"
