"PandaController_2019_08_11__08_04_58__393007hxyxtsccdq","PandaController_2019_08_11__13_55_26__657195mgnbwmrojj","PandaController_2019_08_11__12_36_13__436324samooyzimr","PandaController_2019_08_11__10_24_16__386007rccdsolgrx","PandaController_2019_08_11__15_05_58__438692vdfgieeigo","Mean_over_mean_grasp_times"
"418.0","nan","nan","505.0","nan","461.5"
"nan","nan","nan","898.0","nan","898.0"
"935.5","nan","nan","640.0","nan","787.75"
"nan","nan","nan","653.0","nan","653.0"
"nan","nan","278.0","nan","nan","278.0"
"nan","nan","615.0","nan","nan","615.0"
"114.0","nan","nan","nan","nan","114.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"139.33333333333334","nan","nan","851.0","nan","495.1666666666667"
"nan","nan","nan","108.0","nan","108.0"
"177.0","nan","nan","134.0","nan","155.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","80.0","nan","80.0"
"234.0","nan","697.5","nan","nan","465.75"
"308.3333333333333","nan","nan","nan","nan","308.3333333333333"
"nan","nan","462.0","nan","nan","462.0"
"nan","nan","955.0","nan","nan","955.0"
"341.0","nan","nan","nan","nan","341.0"
"nan","nan","696.0","90.0","nan","393.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","337.0","nan","nan","337.0"
"nan","nan","766.0","101.0","nan","433.5"
"nan","nan","nan","nan","nan","nan"
"139.0","nan","nan","nan","nan","139.0"
"89.0","nan","nan","nan","nan","89.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","351.5","nan","nan","351.5"
"131.0","nan","nan","87.0","nan","109.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","108.0","nan","108.0"
"nan","nan","95.0","nan","nan","95.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"129.0","nan","nan","nan","nan","129.0"
"156.0","nan","281.0","nan","nan","218.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","543.0","nan","nan","543.0"
"89.0","nan","nan","nan","nan","89.0"
"nan","nan","nan","111.0","nan","111.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","90.0","nan","90.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","125.0","nan","nan","125.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","596.0","nan","nan","596.0"
"nan","nan","nan","132.0","nan","132.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","564.0","nan","nan","564.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
