"PandaController_2019_07_11__04_22_12__463949axucqtuhun","PandaController_2019_07_11__07_52_35__792458blpwiaskud","PandaController_2019_08_11__08_38_47__735509zcglqsaenn","PandaController_2019_08_11__11_34_05__216181wrezbfoqef","PandaController_2019_08_11__13_28_46__876978roceimuexi","Mean_over_mean_grasp_times"
"nan","193.4468085106383","nan","nan","nan","193.4468085106383"
"nan","207.22222222222223","nan","nan","nan","207.22222222222223"
"nan","227.77358490566039","nan","nan","nan","227.77358490566039"
"nan","205.93103448275863","nan","nan","nan","205.93103448275863"
"nan","209.77358490566039","nan","nan","nan","209.77358490566039"
"nan","189.82456140350877","nan","nan","nan","189.82456140350877"
"nan","217.73076923076923","nan","nan","nan","217.73076923076923"
"nan","190.42307692307693","nan","nan","nan","190.42307692307693"
"nan","209.9056603773585","nan","nan","nan","209.9056603773585"
"nan","206.47727272727272","nan","nan","nan","206.47727272727272"
"nan","194.7741935483871","nan","nan","nan","194.7741935483871"
"nan","182.43333333333334","nan","nan","nan","182.43333333333334"
"nan","219.4181818181818","nan","nan","nan","219.4181818181818"
"nan","233.73076923076923","nan","nan","nan","233.73076923076923"
"nan","215.13725490196077","nan","nan","nan","215.13725490196077"
"nan","184.0","nan","nan","nan","184.0"
"nan","206.85185185185185","nan","nan","nan","206.85185185185185"
"nan","154.97297297297297","nan","nan","nan","154.97297297297297"
"nan","193.20634920634922","nan","nan","nan","193.20634920634922"
"nan","193.04761904761904","nan","nan","nan","193.04761904761904"
"nan","203.9795918367347","nan","nan","nan","203.9795918367347"
"nan","187.75510204081633","nan","nan","nan","187.75510204081633"
"nan","180.955223880597","nan","nan","nan","180.955223880597"
"nan","197.51785714285714","nan","nan","nan","197.51785714285714"
"nan","183.81666666666666","nan","nan","nan","183.81666666666666"
"nan","180.66071428571428","nan","nan","nan","180.66071428571428"
"nan","164.0","nan","nan","nan","164.0"
"nan","180.11111111111111","nan","nan","nan","180.11111111111111"
"nan","179.7017543859649","nan","nan","nan","179.7017543859649"
"nan","180.56451612903226","nan","nan","nan","180.56451612903226"
"nan","196.08","nan","nan","nan","196.08"
"nan","183.5625","nan","nan","nan","183.5625"
"nan","189.33333333333334","nan","nan","nan","189.33333333333334"
"nan","255.8181818181818","nan","680.0","nan","467.9090909090909"
"nan","213.7719298245614","nan","nan","nan","213.7719298245614"
"nan","219.56363636363636","nan","nan","nan","219.56363636363636"
"nan","197.78688524590163","nan","nan","nan","197.78688524590163"
"nan","173.0952380952381","nan","nan","nan","173.0952380952381"
"nan","239.06382978723406","nan","nan","nan","239.06382978723406"
"nan","174.03773584905662","nan","695.0","nan","434.5188679245283"
"nan","178.54545454545453","nan","nan","nan","178.54545454545453"
"nan","164.97333333333333","nan","nan","nan","164.97333333333333"
"nan","157.25806451612902","nan","nan","nan","157.25806451612902"
"nan","188.0327868852459","nan","nan","nan","188.0327868852459"
