"PandaController_2019_08_11__15_19_02__148767vjuribgiiz","PandaController_2019_08_11__15_19_34__478560dcxzbosnrv","PandaController_2019_08_11__15_34_38__360623vyziwdnqsj","PandaController_2019_08_11__15_36_11__029089ybyhkobuwk","PandaController_2019_08_11__15_41_05__262730fzyxnprhgl","Mean_over_mean_grasp_times"
"nan","228.39285714285714","174.8","236.74074074074073","231.17857142857142","217.77804232804235"
"nan","292.3809523809524","157.63333333333333","192.35714285714286","235.77272727272728","219.53603896103897"
"nan","408.6666666666667","170.7058823529412","208.93333333333334","224.0","253.07647058823528"
"nan","296.77272727272725","171.66666666666666","197.06451612903226","192.12121212121212","214.40628054740958"
"nan","245.96153846153845","150.64285714285714","264.04761904761904","182.05882352941177","210.6777095453566"
"nan","277.60869565217394","173.75675675675674","215.72413793103448","183.6","212.67239758499127"
"nan","285.1363636363636","150.52380952380952","249.0","171.55555555555554","214.05393217893217"
"nan","255.29166666666666","160.05128205128204","183.95833333333334","175.97058823529412","193.81796757164406"
"nan","328.0","155.83783783783784","218.0","184.28571428571428","221.53088803088804"
"nan","439.06666666666666","134.6","205.65384615384616","171.81578947368422","237.78407557354927"
"nan","261.5833333333333","138.03125","200.96774193548387","172.77777777777777","193.34002576164875"
"nan","254.08","142.6818181818182","196.96153846153845","189.17857142857142","195.72548201798202"
"nan","343.4736842105263","138.35555555555555","193.3448275862069","196.59375","217.94195433807218"
"nan","222.92857142857142","141.52272727272728","171.29032258064515","241.63636363636363","194.34449622957686"
"nan","268.5833333333333","146.13953488372093","196.75","244.57692307692307","214.01244782349434"
"nan","304.95238095238096","189.28571428571428","197.78125","174.58064516129033","216.6499975998464"
"nan","231.65384615384616","148.5","186.65217391304347","202.7741935483871","192.3950534038192"
"nan","253.64","142.1578947368421","240.77272727272728","240.4","219.24265550239232"
"nan","202.125","152.26315789473685","214.25","268.61538461538464","209.31338562753038"
"nan","291.54545454545456","150.59459459459458","225.1","281.2","237.11001228501226"
"nan","261.90909090909093","143.35897435897436","220.79166666666666","281.875","226.983682983683"
"nan","312.76190476190476","145.44117647058823","212.9","344.6666666666667","253.94243697478993"
"nan","335.8","161.92307692307693","194.96296296296296","221.0","228.42150997150998"
"nan","251.68","153.69230769230768","187.65217391304347","177.64705882352942","192.66788510722014"
"nan","280.1363636363636","144.21621621621622","205.03225806451613","207.4814814814815","209.21657984964438"
"nan","265.875","143.56756756756758","182.13333333333333","206.73333333333332","199.57730855855857"
"nan","268.9130434782609","150.6904761904762","220.85185185185185","163.43589743589743","200.97281723912158"
"nan","366.05882352941177","145.38888888888889","211.92307692307693","203.93548387096774","231.82656830308633"
"nan","320.42857142857144","134.0","224.10714285714286","198.03125","219.14174107142858"
"nan","247.5","134.23076923076923","206.63333333333333","155.275","185.90977564102562"
"nan","300.42857142857144","158.71428571428572","221.24137931034483","182.54545454545453","215.73242274966412"
"nan","255.58333333333334","153.1","188.3235294117647","199.09375","199.0251531862745"
"nan","277.5","144.37209302325581","227.73684210526315","200.32142857142858","212.48259092498688"
"nan","264.0","168.36666666666667","228.21052631578948","176.41176470588235","209.24723942208462"
"nan","267.7916666666667","151.20454545454547","246.42857142857142","181.57142857142858","211.74905303030303"
"nan","248.76","149.38095238095238","208.06451612903226","194.21875","200.10605462749618"
"nan","221.5","158.42857142857142","197.4814814814815","251.84615384615384","207.3140516890517"
"nan","234.28571428571428","148.92857142857142","258.875","269.55555555555554","227.9112103174603"
"nan","326.10526315789474","149.1818181818182","231.7391304347826","207.11111111111111","228.53433072140166"
"nan","303.04761904761904","152.04545454545453","206.7","210.61290322580646","218.10149420472"
"nan","316.25","147.1627906976744","245.0","170.83870967741936","219.81287509377344"
"nan","257.92","148.0487804878049","260.52941176470586","199.4814814814815","216.49491843349807"
"nan","264.69565217391306","136.29787234042553","241.46153846153845","232.11111111111111","218.64154352174702"
"nan","237.78571428571428","142.8409090909091","306.23809523809524","250.96","234.45617965367967"
"nan","286.90909090909093","137.28571428571428","218.35714285714286","253.24","223.94798701298703"
"nan","255.83333333333334","137.83333333333334","225.17241379310346","206.52380952380952","206.3407224958949"
"nan","279.5217391304348","151.25714285714287","242.28571428571428","230.08","225.786149068323"
"nan","247.48","154.4390243902439","221.52","192.05555555555554","203.87364498644985"
"nan","312.04761904761904","170.2972972972973","242.69230769230768","243.73076923076923","242.1919983169983"
"nan","292.9","140.3095238095238","243.1153846153846","234.25925925925927","227.6460419210419"
"nan","252.33333333333334","151.40540540540542","211.1","172.77142857142857","196.90254182754185"
"nan","365.4117647058824","175.30555555555554","239.26923076923077","201.9375","245.48101275766714"
"nan","320.25","133.375","215.27586206896552","198.46153846153845","216.840600132626"
"nan","301.85714285714283","148.6904761904762","248.23076923076923","188.55172413793105","221.83252810407984"
"nan","322.3157894736842","157.775","243.96153846153845","304.6363636363636","257.1721728928966"
"nan","463.14285714285717","155.2058823529412","209.0","207.42857142857142","258.6943277310924"
"nan","420.57142857142856","137.08333333333334","219.24137931034483","253.1304347826087","257.5066439994289"
"nan","468.5","285.2","190.0","304.72727272727275","312.1068181818182"
"nan","372.8333333333333","172.0","210.25806451612902","235.6206896551724","247.67802187615868"
"nan","313.8","178.2","213.93103448275863","196.125","225.51400862068965"
"nan","358.3888888888889","176.52777777777777","227.14285714285714","202.41935483870967","241.11971966205837"
"nan","282.0952380952381","155.97058823529412","191.54545454545453","220.60714285714286","212.5546059332824"
"nan","254.1153846153846","154.87878787878788","205.19354838709677","200.65625","203.71099272031734"
"nan","297.3809523809524","186.25714285714287","263.6363636363636","194.96666666666667","235.5602813852814"
"nan","343.7368421052632","153.6341463414634","194.9","201.7058823529412","223.49421769991696"
"nan","319.7368421052632","156.75","245.92","164.43243243243242","221.7098186344239"
"nan","348.05555555555554","135.6578947368421","260.7","175.91666666666666","230.08252923976605"
"nan","275.8333333333333","151.4","189.36363636363637","165.3939393939394","195.49772727272727"
"nan","358.8888888888889","138.37777777777777","220.84615384615384","191.57575757575756","227.4221445221445"
"nan","317.4","161.51282051282053","180.3793103448276","203.4516129032258","215.68593594021849"
"nan","214.03571428571428","150.97619047619048","182.0","145.02325581395348","173.00879014396457"
"nan","294.6190476190476","134.2826086956522","198.90322580645162","159.87878787878788","196.92091749998482"
"nan","216.70967741935485","149.34883720930233","196.4","186.78787878787878","187.311598354134"
"nan","304.42857142857144","165.0810810810811","186.0952380952381","181.72222222222223","209.3317782067782"
"nan","286.90909090909093","149.11111111111111","182.57142857142858","194.09677419354838","203.17210119629476"
"nan","244.76923076923077","128.0731707317073","204.76666666666668","182.16666666666666","189.94393370856784"
"nan","285.4761904761905","140.46666666666667","201.96875","197.22727272727272","206.28471996753248"
"nan","285.39130434782606","156.175","235.22727272727272","149.8780487804878","206.66790646389666"
"nan","270.0","161.10256410256412","203.40740740740742","185.2058823529412","204.92896346572817"
"nan","316.7142857142857","153.41463414634146","251.28","208.29032258064515","232.42481061031808"
"nan","307.4","150.37142857142857","218.68965517241378","185.21428571428572","215.418842364532"
"nan","292.2857142857143","174.11111111111111","214.9655172413793","185.7058823529412","216.76705624778648"
"nan","222.96666666666667","143.20454545454547","190.06060606060606","170.9189189189189","181.7876842751843"
"nan","249.56","141.72972972972974","221.625","164.48648648648648","194.35030405405405"
"nan","217.21428571428572","148.5581395348837","213.24137931034483","186.28571428571428","191.32487971130712"
"nan","255.52","160.51282051282053","185.48275862068965","173.44827586206895","193.74096374889479"
"nan","261.56","162.51612903225808","239.5909090909091","212.70967741935485","219.09417888563053"
"nan","281.09090909090907","148.25806451612902","206.65384615384616","169.16666666666666","201.2923716068877"
"nan","237.3846153846154","149.85714285714286","199.8148148148148","251.0","209.51414326414326"
"nan","256.24","165.3684210526316","188.57142857142858","195.62962962962962","201.45236981342242"
"nan","310.45","156.61764705882354","215.8","173.97222222222223","214.20996732026146"
"nan","324.65","199.1153846153846","182.11428571428573","149.27777777777777","213.78936202686202"
