"PandaController_2019_08_11__15_19_02__148767vjuribgiiz","PandaController_2019_08_11__15_19_34__478560dcxzbosnrv","PandaController_2019_08_11__15_34_38__360623vyziwdnqsj","PandaController_2019_08_11__15_36_11__029089ybyhkobuwk","PandaController_2019_08_11__15_41_05__262730fzyxnprhgl","Mean_over_grasps","Std_over_grasps"
"0.0","32.0","19.0","24.0","13.0","17.6","10.781465577554842"
"0.0","22.0","37.0","20.0","15.0","18.8","11.923086848631105"
"0.0","22.0","39.0","24.0","16.0","20.2","12.6237870704476"
"0.0","21.0","34.0","30.0","12.0","19.4","12.32233744059949"
"0.0","20.0","26.0","27.0","31.0","20.8","10.979981785048645"
"0.0","25.0","39.0","23.0","34.0","24.2","13.43726162579266"
"0.0","22.0","37.0","31.0","27.0","23.4","12.690153663372245"
"0.0","24.0","37.0","30.0","30.0","24.2","12.781236246936365"
"0.0","23.0","42.0","27.0","39.0","26.2","14.905032707109367"
"0.0","17.0","36.0","26.0","31.0","22.0","12.66491215919005"
"0.0","21.0","47.0","28.0","32.0","25.6","15.370100845472681"
"0.0","18.0","39.0","30.0","40.0","25.4","14.961283367412035"
"0.0","14.0","28.0","29.0","33.0","20.8","12.221292893961751"
"0.0","24.0","40.0","34.0","32.0","26.0","13.971399357258385"
"0.0","22.0","43.0","19.0","28.0","22.4","13.92264342716569"
"0.0","25.0","30.0","19.0","34.0","21.6","11.909659944767524"
"0.0","24.0","44.0","21.0","35.0","24.8","14.85126257258958"
"0.0","25.0","21.0","31.0","32.0","21.8","11.617228585166083"
"0.0","28.0","28.0","27.0","26.0","21.8","10.925200226998129"
"0.0","28.0","42.0","24.0","18.0","22.4","13.705473359209453"
"0.0","19.0","22.0","23.0","27.0","18.2","9.453041838477178"
"0.0","21.0","22.0","30.0","31.0","20.8","11.160645142642965"
"0.0","20.0","43.0","26.0","31.0","24.0","14.184498581197715"
"0.0","25.0","41.0","17.0","27.0","22.0","13.446189051177289"
"0.0","23.0","47.0","26.0","27.0","24.6","14.947909552843836"
"0.0","28.0","44.0","21.0","25.0","23.6","14.150618361046984"
"0.0","22.0","42.0","28.0","25.0","23.4","13.558761005342634"
"0.0","24.0","42.0","29.0","21.0","23.2","13.644046320648432"
"0.0","23.0","35.0","21.0","25.0","20.8","11.461239025515521"
"0.0","25.0","41.0","25.0","36.0","25.4","14.150618361046982"
"0.0","21.0","37.0","26.0","26.0","22.0","12.181953866272849"
"0.0","20.0","42.0","26.0","27.0","23.0","13.594116374373144"
"0.0","27.0","37.0","30.0","35.0","25.8","13.377593206552515"
"0.0","17.0","36.0","26.0","32.0","22.2","12.812493902437575"
"0.0","20.0","32.0","29.0","26.0","21.4","11.412274094149684"
"0.0","21.0","42.0","26.0","29.0","23.6","13.690872872099865"
"0.0","19.0","40.0","26.0","11.0","19.2","13.526270735128733"
"0.0","14.0","34.0","30.0","21.0","19.8","12.106196760337244"
"0.0","14.0","36.0","29.0","23.0","20.4","12.499599993599796"
"0.0","14.0","15.0","32.0","11.0","14.4","10.287856919689348"
"0.0","18.0","39.0","31.0","29.0","23.4","13.484806264830057"
"0.0","20.0","35.0","29.0","32.0","23.2","12.63962024745997"
"0.0","18.0","36.0","28.0","31.0","22.6","12.737346662472525"
"0.0","21.0","34.0","33.0","28.0","23.2","12.480384609458156"
"0.0","26.0","33.0","31.0","32.0","24.4","12.435433245367852"
"0.0","21.0","35.0","22.0","30.0","21.6","11.976643937263894"
"0.0","19.0","41.0","30.0","34.0","24.8","14.3024473430249"
"0.0","19.0","40.0","25.0","37.0","24.2","14.330387294138285"
"0.0","18.0","38.0","20.0","36.0","22.4","13.821722034536796"
"0.0","24.0","35.0","33.0","33.0","25.0","13.069047402163633"
"0.0","18.0","45.0","26.0","33.0","24.4","15.081114017207085"
"0.0","20.0","39.0","29.0","31.0","23.8","13.347658970770867"
"0.0","28.0","42.0","29.0","43.0","28.4","15.52546295606028"
"0.0","21.0","46.0","31.0","33.0","26.2","15.328405005087776"
"0.0","31.0","43.0","25.0","33.0","26.4","14.416657032752079"
"0.0","21.0","37.0","21.0","36.0","23.0","13.431306712304652"
"0.0","22.0","36.0","35.0","31.0","24.8","13.347658970770867"
"0.0","26.0","41.0","30.0","36.0","26.6","14.2492105044455"
"0.0","21.0","45.0","32.0","22.0","24.0","14.791889669680478"
"0.0","23.0","40.0","22.0","41.0","25.2","14.958609561052125"
"0.0","23.0","39.0","27.0","34.0","24.6","13.484806264830059"
"0.0","21.0","41.0","25.0","31.0","23.6","13.588230201170424"
"0.0","20.0","35.0","29.0","28.0","22.4","12.175385004179539"
"0.0","21.0","36.0","29.0","34.0","24.0","13.069047402163633"
"0.0","30.0","44.0","33.0","37.0","28.8","15.144636014114042"
"0.0","25.0","37.0","24.0","37.0","24.6","13.514436725220923"
"0.0","28.0","43.0","29.0","35.0","27.0","14.51895313030523"
"0.0","25.0","39.0","29.0","29.0","24.4","13.047605144240071"
"0.0","25.0","31.0","22.0","31.0","21.8","11.443775600735973"
"0.0","22.0","31.0","26.0","36.0","23.0","12.425779653607254"
