"PandaController_2019_08_11__07_58_24__024733gzfwxrhysh","PandaController_2019_08_11__10_19_04__127417bjsoeijqno","PandaController_2019_08_11__13_52_10__020172aunazfahtv","PandaController_2019_08_11__15_00_58__017286qhcugfzows","PandaController_2019_08_11__12_31_14__388038vpxtxvdzcw","Mean_over_grasps","Std_over_grasps"
"46.0","0.0","0.0","64.0","70.0","36.0","30.43681980759488"
"43.0","1.0","0.0","60.0","64.0","33.6","27.9327764463184"
"43.0","0.0","0.0","64.0","47.0","30.8","26.118192893077424"
"45.0","0.0","0.0","65.0","57.0","33.4","28.00428538634757"
"34.0","0.0","0.0","71.0","60.0","33.0","29.50254226333724"
"46.0","0.0","0.0","59.0","46.0","30.2","25.110953785151214"
"48.0","0.0","0.0","69.0","64.0","36.2","30.360500654633483"
"48.0","0.0","0.0","72.0","64.0","36.8","31.025151087464508"
"32.0","0.0","0.0","62.0","76.0","34.0","31.189741903388683"
"43.0","0.0","0.0","70.0","57.0","34.0","29.04479299289289"
"40.0","3.0","0.0","70.0","67.0","36.0","30.059940119700837"
"39.0","1.0","0.0","70.0","59.0","33.8","28.95099307450437"
"35.0","0.0","0.0","68.0","68.0","34.2","30.413155048432575"
"39.0","0.0","0.0","73.0","67.0","35.8","31.403184551889"
"34.0","1.0","0.0","70.0","65.0","34.0","30.006665926090488"
"42.0","2.0","0.0","68.0","58.0","34.0","28.199290771223307"
"42.0","0.0","0.0","67.0","57.0","33.2","28.25172561101357"
"35.0","1.0","0.0","64.0","64.0","32.8","28.421118908304788"
"28.0","2.0","0.0","69.0","59.0","31.6","28.415488734139345"
"38.0","1.0","0.0","74.0","61.0","34.8","30.287951399855356"
"40.0","2.0","0.0","68.0","70.0","36.0","30.489342400255207"
"26.0","0.0","0.0","70.0","68.0","32.8","31.05092591212056"
"27.0","3.0","0.0","71.0","70.0","34.2","31.083114387075177"
"35.0","0.0","0.0","74.0","62.0","34.2","30.648980407184837"
"37.0","0.0","0.0","71.0","68.0","35.2","31.108841187032343"
"30.0","0.0","0.0","75.0","72.0","35.4","32.99454500368205"
