"PandaController_2019_07_11__04_22_12__463949axucqtuhun","PandaController_2019_07_11__07_52_35__792458blpwiaskud","PandaController_2019_08_11__08_38_47__735509zcglqsaenn","PandaController_2019_08_11__11_34_05__216181wrezbfoqef","PandaController_2019_08_11__13_28_46__876978roceimuexi","Mean_over_grasps","Std_over_grasps"
"0.0","60.0","2.0","0.0","58.0","24.0","28.593705601058428"
"0.0","60.0","2.0","0.0","49.0","22.2","26.611275805567832"
"0.0","53.0","2.0","0.0","61.0","23.2","27.72291470967654"
"0.0","66.0","3.0","0.0","51.0","24.0","28.58671019897183"
"0.0","77.0","4.0","0.0","50.0","26.2","31.66322788346128"
"0.0","64.0","3.0","0.0","45.0","22.4","26.911707489492375"
"0.0","69.0","2.0","0.0","44.0","23.0","28.48157299026864"
"0.0","51.0","5.0","0.0","42.0","19.6","22.222511109233356"
"0.0","52.0","7.0","0.0","39.0","19.6","21.694238866574693"
"0.0","69.0","4.0","0.0","48.0","24.2","28.819437884872077"
"0.0","64.0","3.0","0.0","56.0","24.6","29.03515111033521"
"0.0","61.0","5.0","0.0","57.0","24.6","28.175166370404984"
"0.0","52.0","5.0","0.0","60.0","23.4","26.8"
"0.0","55.0","9.0","0.0","65.0","25.8","28.294169010592977"
"0.0","71.0","6.0","0.0","56.0","26.6","30.578423765786226"
"0.0","74.0","6.0","0.0","52.0","26.4","30.76101428756861"
"0.0","61.0","9.0","0.0","61.0","26.2","28.60349628978947"
"0.0","56.0","15.0","0.0","52.0","24.6","24.65441136997596"
"0.0","57.0","13.0","0.0","57.0","25.4","26.23432865540874"
"0.0","59.0","22.0","0.0","44.0","25.0","23.562682360037027"
"0.0","65.0","18.0","0.0","65.0","29.6","29.64186228967404"
"0.0","57.0","18.0","0.0","63.0","27.6","27.32471408816568"
"0.0","65.0","21.0","0.0","65.0","30.2","29.43059632423373"
"0.0","68.0","16.0","0.0","67.0","30.2","31.01225564192324"
"0.0","71.0","21.0","0.0","61.0","30.6","30.070583632513685"
"0.0","54.0","28.0","0.0","58.0","28.0","25.075884829851965"
"0.0","62.0","32.0","0.0","54.0","29.6","26.089078174592522"
"0.0","53.0","25.0","0.0","67.0","29.0","27.26903005242394"
"0.0","59.0","29.0","0.0","70.0","31.6","29.08332855778375"
"0.0","60.0","33.0","0.0","51.0","28.8","25.071098898931417"
"0.0","53.0","33.0","0.0","58.0","28.8","24.959166652755055"
"0.0","59.0","29.0","0.0","46.0","26.8","23.861265683110776"
"0.0","45.0","31.0","0.0","55.0","26.2","22.710350063352173"
"0.0","73.0","35.0","0.0","57.0","33.0","29.52287248897031"
"0.0","53.0","36.0","0.0","60.0","29.8","25.553082005895103"
"0.0","50.0","33.0","0.0","68.0","30.2","27.028873450441843"
"0.0","65.0","22.0","0.0","68.0","31.0","30.093188598086446"
"0.0","61.0","25.0","0.0","74.0","32.0","30.665942020423895"
"0.0","38.0","35.0","0.0","49.0","24.4","20.460694025374604"
"0.0","70.0","37.0","0.0","59.0","33.2","29.11631844859511"
"0.0","54.0","39.0","0.0","58.0","30.2","25.4589866255513"
"0.0","57.0","39.0","0.0","75.0","34.2","30.155596495509748"
"0.0","57.0","33.0","0.0","55.0","29.0","25.13165334791963"
"0.0","48.0","45.0","0.0","68.0","32.2","27.45468994543555"
"0.0","59.0","43.0","0.0","61.0","32.6","27.3393489315309"
"0.0","57.0","41.0","0.0","75.0","34.6","30.229786635039286"
"0.0","58.0","26.0","0.0","77.0","32.2","30.93477008157649"
"0.0","58.0","43.0","0.0","59.0","32.0","26.735743864721623"
"0.0","60.0","41.0","0.0","62.0","32.6","27.608694282779837"
"0.0","51.0","45.0","0.0","61.0","31.4","26.14268540146555"
"0.0","51.0","43.0","0.0","63.0","31.4","26.41666140904259"
"0.0","48.0","57.0","0.0","71.0","35.2","29.66074847336122"
"0.0","46.0","41.0","0.0","68.0","31.0","26.892378102354577"
"0.0","39.0","50.0","0.0","75.0","32.8","29.2123261655076"
